user,latitude,longitude
Sarah12379,48.87133531,2.30348925
DCeliset,48.836826,2.392346
claudegrunitzky,48.83730284,2.33157599
SerenaStifler,48.89956544,2.36870321
EatMyTips,48.86698833,2.353745
DahanCaro,48.86140923,2.32484453
trendinaliaFR,48.8569,2.3412
Jeanne_Dupont,48.88249616,2.3165772
justashleylove1,48.8638691,2.3812337
aclabaut,48.87199793,2.33170867
erikamneal,48.8590256,2.29811714
KevinnCriss,48.87850947,2.35606371
rinrada_tyr,48.87342988,2.33198466
tmj_fra_itpm,48.856614,2.3522219
BeverlyIDF,48.85483,2.34738
120lazone,48.9293524,2.3819628
___laflame,48.9027798,2.4869989
_AudreyP,48.83454584,2.3483877
claudegrunitzky,48.83730284,2.33157599
Miguelitinho,48.865813,2.360928
manureze,48.83851685,2.32049253
Str1975,48.8631096,2.33779
AnneMareeGale,48.8710098,2.2933199
SerenaStifler,48.89962451,2.36868908
FranceBidet,48.870248,2.316348
emilyleonarose,48.86398466,2.35568606
AmiGuehi,48.8238777,2.3627506
CedricRances,48.84197366,2.32214075
tieandi,48.86437131,2.29666241
___laflame,48.902778,2.4870282
KevinAvraham,48.86140923,2.32484453
signorfandi,48.86437131,2.29666241
smallamericano,48.8762817,2.2951601
LauralouWaldorf,48.86558993,2.34691948
AmiGuehi,48.8238727,2.3627501
FosRobson,48.77818822,2.34470133
Disk124,48.856614,2.3522219
Disk124,48.856614,2.3522219
IsisPaname,48.88234167,2.32731333
WhitneyBaaby,48.7742352,2.3567234
___laflame,48.9027713,2.486998
AVANLAVA,48.8695793,2.3541701
beautylicieuse,48.90104756,2.34922917
JohannaSansano,48.86618514,2.31252296
___laflame,48.9027818,2.4870349
BCritique,48.878767,2.319205
lucioniale,48.86437131,2.29666241
trendinaliaFR,48.8569,2.3412
trendinaliaFR,48.8569,2.3412
MarikaBougere,48.86437131,2.29666241
BCritique,48.879445,2.329506
___laflame,48.9027782,2.4870178
dhbaquedano,48.8753319,2.3482399
AmiGuehi,48.8238867,2.3626405
Julielilou,48.83746405,2.44546652
AmiGuehi,48.8238867,2.3626405
raphouzzz,48.86437131,2.29666241
Disk124,48.856614,2.3522219
Disk124,48.856614,2.3522219
lucioniale,48.86437131,2.29666241
OrnellaPemjean,48.77788695,2.30518845
rakookoo,48.87124127,2.36274067
chadevans1019,48.8639183,2.352
chadevans1019,48.8639183,2.352
holivier,48.9348404,2.31088781
LocosMaruecos,48.79126994,2.3902634
KPerezNadeeva,48.86737971,2.32980548
KPerezNadeeva,48.86737971,2.32980548
bastienlulu,48.8676331,2.3316738
JohannaSarfati1,48.86278872,2.23303032
AmiGuehi,48.823894,2.3627534
KenzaChadly,48.8585534,2.4094378
kartenquizde,48.8567,2.35099
120lazone,48.9293363,2.3819547
lignesNetU_SNCF,48.83975963,2.31619179
michtang_paris,48.87086484,2.29632023
Peeeeeerle,48.93149,2.28774
sig_jun,48.873797,2.294952
DJastrolabia,48.88326283,2.23353395
adri1dupuy,48.87202263,2.34016836
pairsonnalitesF,48.92425038,2.37138672
pairsonnalitesF,48.92425038,2.37138672
pairsonnalitesF,48.92425038,2.37138672
ClaraMartinage,48.86588635,2.34352112
tto2706,48.876055,2.325084
lesnums_rss,48.89235907,2.37007244
maltin75,48.8323935,2.35466838
tto2706,48.87619,2.325304
LocosMaruecos,48.79126347,2.39024322
444antonina,48.8590256,2.29811714
BCritique,48.8723236,2.3552225
PriscilliaLKG,48.85721289,2.35282015
Cynthia_Slg,48.81313537,2.30621519
_ochavalentina,48.84834561,2.30591997
Rikasharsa,48.86179762,2.33589429
