user,latitude,longitude
pairsonnalitesF,48.84839718,2.3741333
PapaRatchy_,48.8567,2.3508
HUPERTAN,48.86746503,2.36418438
AuliaKistianti,48.8567,2.3508
CarlozAlberto,48.86059281,2.35244751
bonn79,48.87354123,2.33133039
HTRMillinery,48.8567,2.3508
BaaltiGirl,48.9287904,2.4236158
mkaroblis,48.85303972,2.34971166
LeaKChelli,48.8567,2.3508
BaaltiGirl,48.9285103,2.42372
BaaltiGirl,48.9285103,2.42372
DarkFairytale,48.8373,2.33925
MariusJr11,48.8567,2.3508
HUPERTAN,48.86444351,2.37043225
rash3l,48.87217246,2.36070889
emmmanuel75,48.8567,2.3508
StefanoDeMaron,48.8567,2.3508
alexandre_noe,48.826804,2.3409285
karmaeas,48.86746503,2.36418438
Calloire,48.87027778,2.32833333
JosepCabayol,48.8541436,2.3544118
ComeTweetThis,48.82607191,2.35179244
_melaniefaure,48.84928784,2.29406072
Imotep_tep,48.8602514,2.3858215
AlexisLmn,48.8567,2.3508
pairsonnalitesF,48.95569494,2.4257791
pairsonnalitesF,48.95569494,2.4257791
pairsonnalitesN,48.95569494,2.4257791
pairsonnalitesN,48.95569494,2.4257791
Pairsonnalites,48.95569494,2.4257791
Pairsonnalites,48.95569494,2.4257791
HUPERTAN,48.86444351,2.37043225
Bdsopon,48.89027608,2.40152931
lucas___dantas,48.8590256,2.29811714
Kazuna_KISSme,48.82719087,2.38151777
Doug_Harmoniak,48.8085391,2.443353
Kazuna_KISSme,48.82719087,2.38151777
Jeff_Dettori,48.87349161,2.32967284
DonM7,48.8567,2.3508
HUPERTAN,48.86746503,2.36418438
HUPERTAN,48.86746503,2.36418438
GarconsFoulards,48.8554192,2.3368199
NehosGaming,48.8347065,2.5633022
FairouzSalvador,48.9,2.45
Flosh,48.86746503,2.36418438
trendinaliaPAR,48.8569,2.3412
zaLdinho_,48.863121,2.3708701
Jairsouth,48.8567,2.3508
Jules_Franco,48.86524763,2.35125124
Joy_Villa,48.8567,2.3508
trendinaliaFR,48.8569,2.3412
